,WALK,BIKE,BUS_TRAM,TRAIN,CAR_DRIVER,CAR_PASSENGER
betaChangesTransportLeisure,0.016235872870952586,0.01624676232275586,-0.07031442845259682,-0.0023262990683136026,0.001768050483782192,0.038390041843419695
betaCostLeisureTrain,0.002757717200947984,-0.0004096042553297182,0.0001910857925990753,-0.0008367252741391339,-0.0008288165021090354,-0.0008736569619692193
betaTimeLeisureBike,0.0025579511400552367,-4.659198652800947e-05,-0.00036384036275714695,0.0003831568503103628,0.0007029473280963978,-0.0032336229691768215
betaCostSchoolBusTram,0.002410472433027378,0.000301194150535325,-0.0005487206641154883,0.00020508885416139867,0.000512271953751369,-0.0028803067273600247
betaTimeWorkBus,0.002286256370892735,2.6192782031668538e-05,-0.0015980543449441167,-0.0003860749381531382,-0.00020416369075042728,-0.00012415617907689098
betaCostWorkBus,0.00205861687405844,-0.0035698975668788015,-0.000944364428657406,0.0004621840174911305,-0.00041357740993947157,0.002407038513926148
alphaWorkTrain,0.001855660262432491,0.0009912058143717666,-0.0011358604481963794,0.0004314283064591635,0.001221749832925928,-0.0033641837679930214
betaCostWorkCarPassenger,0.0014893958308477735,-0.0017616153903010606,0.0011284403731923807,-7.199513556773516e-05,-0.00024258191381426096,-0.0005416437643572818
betaCostLeisureCarDriver,0.0011991203071089675,-0.003743114411823081,0.00120727267439035,-0.000404343872113468,0.0012114410295242252,0.0005296242729129868
betaTimeWalkTransportLeisure,0.0010174739940348554,-0.00012117991988729505,-0.0008566355568135789,-0.0003346856602091998,-0.00041951987143024397,0.0007145470143053624
betaCostLeisureBus,0.0009597643904825,-0.0026885099326244767,0.0005480447620337109,0.0003119692203316297,-0.0016859816219503057,0.002554713181726868
alphaWorkBus,0.0009416647833939576,0.0031364940468556718,-0.0033958357487685244,0.0006253024848793322,0.0005888870503532948,-0.0018965126167136024
alphaSchoolCarPassenger,0.0008923967035524067,0.00016832881064603297,-0.000610368922763511,-0.00038402943123343143,-0.0005491802613649361,0.00048285310116362733
alphaWorkCarPassenger,0.0007857665509420359,-0.0005605553759256623,0.0009797690846934542,0.000554836014184735,-0.0018923149405204727,0.00013249866662597184
betaTimeWorkCarPassenger,0.0005014896671504165,0.001903191381205312,0.0007873676796821592,0.0006587927282751973,0.0007397470664666931,-0.004590588522779835
betaTimeLeisureCarDriver,0.0005000632941136302,-0.0009639204215030985,0.0020315223788383787,0.000509851752387895,9.4469913838637e-05,-0.0021719869176755227
betaCostWorkTrain,0.00041023253864894724,-0.0004371872660105723,-0.0017898237256962395,-0.0005408179980354632,-0.0006717446877143638,0.003029341138807781
betaTimeLeisureWalk,0.000189336768152818,-0.0007233117413322076,0.0005067670105581554,-3.5002111829070555e-05,-0.0007915492437795988,0.0008537593182299963
betaTimeWorkBike,0.00015158466527279168,-0.0004984763121480785,0.0006452897952036232,-0.0004960213564196996,-0.0005198387780168785,0.0007174619861082744
betaTimeSchoolBus,0.00011825811102857741,-0.00024542190077185295,-0.001171443020921763,-6.340402894933279e-05,-0.0007084432032266329,0.002070454042840995
betaCostLeisureCarPassenger,9.758799569963902e-05,-0.0017680255385933072,0.0006946507406370527,0.00042124895674459993,-0.0011933401167067452,0.0017478779622187308
betaTimeSchoolBike,-2.114998992965026e-05,-0.0014861892611103494,0.0011127587415459053,-0.00046514322329923463,-0.001190257064823534,0.002049980797616623
betaTimeLeisureTrain,-4.081130403632169e-05,0.0007889243681402044,8.620899347228869e-05,-0.00045523785165523434,0.000236904684480834,-0.0006159888904019331
alphaWorkCarDriver,-0.00014180562762561787,-0.0024805862527945977,0.0004645005913305867,0.00019529704673306285,0.0011486457052711338,0.0008139485370854228
betaChangesTransportWork,-0.00016660928869259087,0.0006897356840784368,0.0017419994149564242,0.0001298440698985342,-6.405679726669775e-05,-0.0023309130829742342
betaTimeSchoolCarDriver,-0.00023487179034111048,-0.0020888492890963222,0.0017105595988383202,-6.10660172542678e-05,0.0020182373672811963,-0.0013440098694277426
betaTimeWorkWalk,-0.00036913533989401027,0.0008003317321536347,-0.0015288350289658983,-0.00014486321739183463,-0.001263689481263031,0.00250619133536094
betaTimeWorkTrain,-0.0004015052199415549,-0.000907086898072115,-0.0002090607648717813,0.0002951856150797676,0.0004797673156181022,0.0007426999521875971
betaTimeWorkCarDriver,-0.0005610485785427861,0.0009650849433052174,0.0005821184962722882,-0.0002455565327355656,0.0015954739275882619,-0.0023360722558872973
alphaSchoolCarDriver,-0.0006264587800251855,-0.003353782908109758,0.0015427318435251762,-0.00041228632736476815,0.000529104163418296,0.0023206920085561997
betaTimeLeisureBus,-0.0007127636669501209,-0.0006970471045142483,-0.0015687990555717894,-0.0005352062293252032,0.0005014629166827948,0.003012353139678323
betaTimeWalkTransportSchool,-0.0007461479160670173,-0.0016809060536285135,0.00046221916749896857,0.00040159669994483353,-0.001824364701052735,0.003387602803304269
betaCostSchoolCarPassenger,-0.0007977056166523264,-0.0026243798101835115,-0.00011672543226028662,-0.00021316476268279955,0.0010899430791480955,0.0026620325426309657
betaTimeWalkTransportWork,-0.0008198043715274112,-0.0012133262819136923,-0.001054463659137004,0.000338254275583297,-4.6412046297025304e-05,0.002795752083291828
alphaSchoolBus,-0.0011111635785026018,-1.2307790747402982e-05,0.0008001242141584122,-0.0003267103753140662,0.00025276718985649293,0.0003972903405492365
betaTimeSchoolCarPassenger,-0.0015176587617976088,-0.0011636222222261832,0.0011397839188483532,-0.0001365677319229317,-0.0007588885869410697,0.0024369533840393333
alphaSchoolTrain,-0.0015536035214901013,0.0028424135611237063,-0.003896458767239643,-0.00027692626700557004,0.00044606115309316964,0.002438513841518497
betaTimeSchoolWalk,-0.0016645818294741574,0.0015891638588271776,-0.0012642881203872435,-0.0005838640081471647,0.00029473896017176605,0.0016288311390095784
betaCostWorkCarDriver,-0.0017373056906861207,-0.0010190499936678665,0.0010355155254653371,-0.0005407256078129994,0.000506335680448366,0.0017552300862533848
